Entity,Code,Year,Population
Cambodia,KHM,1800,2090000
Cambodia,KHM,1801,2090000
Cambodia,KHM,1802,2090000
Cambodia,KHM,1803,2090000
Cambodia,KHM,1804,2090000
Cambodia,KHM,1805,2090000
Cambodia,KHM,1806,2090000
Cambodia,KHM,1807,2090000
Cambodia,KHM,1808,2090000
Cambodia,KHM,1809,2090000
Cambodia,KHM,1810,2090000
Cambodia,KHM,1811,2090000
Cambodia,KHM,1812,2090000
Cambodia,KHM,1813,2090000
Cambodia,KHM,1814,2090000
Cambodia,KHM,1815,2090000
Cambodia,KHM,1816,2090000
Cambodia,KHM,1817,2090000
Cambodia,KHM,1818,2090000
Cambodia,KHM,1819,2090946
Cambodia,KHM,1820,2092839
Cambodia,KHM,1821,2095682
Cambodia,KHM,1822,2099478
Cambodia,KHM,1823,2104227
Cambodia,KHM,1824,2108988
Cambodia,KHM,1825,2113759
Cambodia,KHM,1826,2118541
Cambodia,KHM,1827,2123334
Cambodia,KHM,1828,2128137
Cambodia,KHM,1829,2132952
Cambodia,KHM,1830,2137777
Cambodia,KHM,1831,2142613
Cambodia,KHM,1832,2147461
Cambodia,KHM,1833,2152319
Cambodia,KHM,1834,2157188
Cambodia,KHM,1835,2162068
Cambodia,KHM,1836,2166959
Cambodia,KHM,1837,2171862
Cambodia,KHM,1838,2176775
Cambodia,KHM,1839,2181700
Cambodia,KHM,1840,2186635
Cambodia,KHM,1841,2191582
Cambodia,KHM,1842,2196540
Cambodia,KHM,1843,2201509
Cambodia,KHM,1844,2206490
Cambodia,KHM,1845,2211481
Cambodia,KHM,1846,2216484
Cambodia,KHM,1847,2221499
Cambodia,KHM,1848,2226524
Cambodia,KHM,1849,2231561
Cambodia,KHM,1850,2236610
Cambodia,KHM,1851,2241214
Cambodia,KHM,1852,2245827
Cambodia,KHM,1853,2250450
Cambodia,KHM,1854,2255082
Cambodia,KHM,1855,2259724
Cambodia,KHM,1856,2264375
Cambodia,KHM,1857,2269036
Cambodia,KHM,1858,2273706
Cambodia,KHM,1859,2278385
Cambodia,KHM,1860,2283075
Cambodia,KHM,1861,2287773
Cambodia,KHM,1862,2292482
Cambodia,KHM,1863,2297199
Cambodia,KHM,1864,2301927
Cambodia,KHM,1865,2306664
Cambodia,KHM,1866,2311411
Cambodia,KHM,1867,2316167
